NAME                                    VERSION                                   TYPE                           
@kasmtech/novnc                         1.3.0                                     npm                             
accountsservice                         23.13.9-2ubuntu6                          deb                             
accountsservice-ubuntu-schemas          0.0.7+21.10.20210712-0ubuntu3             deb                             
acl                                     2.3.2-1build1.1                           deb                             
activity-log-manager                    0.9.7-0ubuntu31                           deb                             
adduser                                 3.137ubuntu1                              deb                             
adwaita-icon-theme                      46.0-1                                    deb                             
alsa-topology-conf                      1.2.5.1-2                                 deb                             
alsa-ucm-conf                           1.2.10-1ubuntu5.3                         deb                             
apg                                     2.2.3.dfsg.1-5build3                      deb                             
apparmor                                4.0.1really4.0.1-0ubuntu0.24.04.3         deb                             
apport                                  2.28.1-0ubuntu3.3                         deb                             
apport                                  UNKNOWN                                   java-archive                    
apport-core-dump-handler                2.28.1-0ubuntu3.3                         deb                             
apport-symptoms                         0.25                                      deb                             
appstream                               1.0.2-1build6                             deb                             
apt                                     2.7.14build2                              deb                             
aspell                                  0.60.8.1-1build1                          deb                             
aspell-en                               2020.12.07-0-1                            deb                             
at-spi2-common                          2.52.0-1build1                            deb                             
at-spi2-core                            2.52.0-1build1                            deb                             
avahi-daemon                            0.8-13ubuntu6                             deb                             
avahi-utils                             0.8-13ubuntu6                             deb                             
bamfdaemon                              0.5.6+22.04.20220217-0ubuntu5             deb                             
base-files                              13ubuntu10.1                              deb                             
base-passwd                             3.6.3build1                               deb                             
bash                                    5.2.21-2ubuntu4                           deb                             
bc                                      1.07.1-3ubuntu4                           deb                             
blinker                                 1.7.0                                     python                          
bluez                                   5.72-0ubuntu5                             deb                             
bluez-obexd                             5.72-0ubuntu5                             deb                             
bsdextrautils                           2.39.3-9ubuntu6.1                         deb                             
bsdutils                                1:2.39.3-9ubuntu6.1                       deb                             
bubblewrap                              0.9.0-1ubuntu0.1                          deb                             
bzip2                                   1.0.8-5.1build0.1                         deb                             
ca-certificates                         20240203                                  deb                             
certifi                                 2023.11.17                                python                          
chardet                                 5.2.0                                     python                          
cheese-common                           44.1-1build4                              deb                             
colord                                  1.4.7-1build2                             deb                             
colord-data                             1.4.7-1build2                             deb                             
coreutils                               9.4-3ubuntu6                              deb                             
cpp                                     4:13.2.0-7ubuntu1                         deb                             
cpp-13                                  13.3.0-6ubuntu2~24.04                     deb                             
cpp-13-x86-64-linux-gnu                 13.3.0-6ubuntu2~24.04                     deb                             
cpp-x86-64-linux-gnu                    4:13.2.0-7ubuntu1                         deb                             
cracklib-runtime                        2.9.6-5.1build2                           deb                             
crash                                   UNKNOWN                                   java-archive                    
cryptography                            41.0.7                                    python        (+1 duplicate)    
cups                                    2.4.7-1.2ubuntu7.3                        deb                             
cups-browsed                            2.0.0-0ubuntu10.2                         deb                             
cups-client                             2.4.7-1.2ubuntu7.3                        deb                             
cups-common                             2.4.7-1.2ubuntu7.3                        deb                             
cups-core-drivers                       2.4.7-1.2ubuntu7.3                        deb                             
cups-daemon                             2.4.7-1.2ubuntu7.3                        deb                             
cups-filters                            2.0.0-0ubuntu4                            deb                             
cups-filters-core-drivers               2.0.0-0ubuntu4                            deb                             
cups-ipp-utils                          2.4.7-1.2ubuntu7.3                        deb                             
cups-pk-helper                          0.2.6-1ubuntu8                            deb                             
cups-ppdc                               2.4.7-1.2ubuntu7.3                        deb                             
cups-server-common                      2.4.7-1.2ubuntu7.3                        deb                             
cupshelpers                             1.0                                       python                          
curl                                    8.5.0-2ubuntu10.6                         deb                             
dash                                    0.5.12-6ubuntu5                           deb                             
db-util                                 1:5.3.21ubuntu2                           deb                             
db5.3-util                              5.3.28+dfsg2-7                            deb                             
dbus                                    1.14.10-4ubuntu4.1                        deb                             
dbus-bin                                1.14.10-4ubuntu4.1                        deb                             
dbus-daemon                             1.14.10-4ubuntu4.1                        deb                             
dbus-python                             1.3.2                                     python                          
dbus-session-bus-common                 1.14.10-4ubuntu4.1                        deb                             
dbus-system-bus-common                  1.14.10-4ubuntu4.1                        deb                             
dbus-user-session                       1.14.10-4ubuntu4.1                        deb                             
dbus-x11                                1.14.10-4ubuntu4.1                        deb                             
dconf-cli                               0.40.0-4build2                            deb                             
dconf-gsettings-backend                 0.40.0-4build2                            deb                             
dconf-service                           0.40.0-4build2                            deb                             
debconf                                 1.5.86ubuntu1                             deb                             
debianutils                             5.17build1                                deb                             
desktop-base                            12.0.6+nmu1ubuntu1                        deb                             
desktop-file-utils                      0.27-2build1                              deb                             
dictionaries-common                     1.29.7                                    deb                             
diffutils                               1:3.10-1build1                            deb                             
dirmngr                                 2.4.4-2ubuntu17                           deb                             
distro                                  1.9.0                                     python                          
distro-info                             1.7+build1                                python                          
distro-info-data                        0.60ubuntu0.2                             deb                             
dmidecode                               3.5-3ubuntu0.1                            deb                             
dmsetup                                 2:1.02.185-3ubuntu3.1                     deb                             
dns-root-data                           2023112702~willsync1                      deb                             
dnsmasq-base                            2.90-2build2                              deb                             
docbook-xml                             4.5-12                                    deb                             
dom7                                    4.0.1                                     npm           (+1 duplicate)    
dosfstools                              4.2-1.1build1                             deb                             
dpkg                                    1.22.6ubuntu6.1                           deb                             
e2fsprogs                               1.47.0-2.4~exp1ubuntu4.1                  deb                             
